word phonetic definition
fat-free "[fæt fri:]" "a without fat or fat solids"
fatal ['feitәl] "a. bringing death\ns. controlled or decreed by fate; predetermined"
fatality [fә'tæliti] "n. a death resulting from an accident or a disaster\nn. the quality of being able to cause death or fatal disasters"
fatally ['feitәli] "r. with fatal consequences or implications"
fate [feit] "n an event (or a course of events) that will inevitably happen in the future\nn the ultimate agency regarded as predetermining the course of events (often personified as a woman)\nn your overall circumstances or condition in life (including everything that happens to you)\nv decree or designate beforehand"
fateful ['feitful] "s. having momentous consequences; of decisive importance\ns. ominously prophetic"
father ['fɑ:ðә] "n. a male parent (also used as a term of address to your father)\nn. `Father' is a term of address for priests in some churches (especially the Roman Catholic Church or the Orthodox Catholic Church); `Padre' is frequently used in the military\nn. a person who holds an important or distinguished position in some organization\nn. God when considered as the first person in the Trinity"
father-in-law ['fɑ:ðәrinlɔ:] "n. the father of your spouse"
fatherhood ['fɑ:ðәhud] "n. the kinship relation between an offspring and the father\nn. the status of a religious leader\nn. the status of a father"
fathom ['fæðәm] "n. a linear unit of measurement (equal to 6 feet) for water depth\nn. (mining) a unit of volume (equal to 6 cubic feet) used in measuring bodies of ore\nv. measure the depth of (a body of water) with a sounding line"
fatigue [fә'ti:g] "n. temporary loss of strength and energy resulting from hard physical or mental work\nn. used of materials (especially metals) in a weakened state caused by long stress\nn. (always used with a modifier) boredom resulting from overexposure to something"
fatten ['fætn] "v. make fat or plump"
fatty ['fæti] "a. containing or composed of fat"
faucet ['fɒ:sit] "n. a regulator for controlling the flow of a liquid from a reservoir"
fault [fɒ:lt] "n. (geology) a crack in the earth's crust resulting from the displacement of one side with respect to the other\nn. (electronics) equipment failure attributable to some defect in a circuit (loose connection or insulation failure or short circuit etc.)\nn. responsibility for a bad situation or event\nn. (sports) a serve that is illegal (e.g., that lands outside the prescribed area)"
faulty ['fɒ:lti] "s. characterized by errors; not agreeing with a model or not following established rules; the wrong side of the road"""
fauna ['fɒ:nә] "n. all the animal life in a particular region or period"
favor ['feivә] "n. an act of gracious kindness\nn. an advantage to the benefit of someone or something\nn. an inclination to approve"
favorable ['feivәrәbl] "a. encouraging or approving or pleasing\na. (of winds or weather) tending to promote or facilitate\ns. occurring at a convenient or suitable time"
favorably ['feivәrәbli] "r. showing approval"
favored ['feivәd] "s. preferred above all others and treated with partiality"
favorite ['feivәrit] "n. something regarded with special favor or liking\ns. appealing to the general public"
favoritism ['feivәritizm] "n. an inclination to favor some person or group"
fawn [fɒ:n] "n. a young deer\nv. show submission or fear\nv. try to gain favor by cringing or flattering\nv. have fawns"
fear [fiә] "n. an emotion experienced in anticipation of some specific pain or danger (usually accompanied by a desire to flee or fight)\nn. a feeling of profound respect for someone or something\nv. be afraid or feel anxious or apprehensive about a possible or probable situation or event\nv. be afraid or scared of; be frightened of"
feared [fiəd] "v be afraid or feel anxious or apprehensive about a possible or probable situation or event\nv be afraid or scared of; be frightened of\nv be sorry; used to introduce an unpleasant statement\nv be uneasy or apprehensive about\nv regard with feelings of respect and reverence; consider hallowed or exalted or be in awe of"
fearful ['fiәful] "s. experiencing or showing fear\ns. extremely distressing\ns. timid by nature or revealing timidity"
fearless ['fiәlis] "a oblivious of dangers or perils or calmly resolute in facing them\ns invulnerable to fear or intimidation"
fearsome ['fiәsәm] "s causing fear or dread or terror"
feasibility [.fi:zә'biliti] "n. the quality of being doable"
feasible ['fi:zәbl] "s. capable of being done with means at hand and circumstances as they are"
feast [fi:st] "n. something experienced with great delight\nv. partake in a feast or banquet\nv. provide a feast or banquet for"
feat [fi:t] "n. a notable achievement"
feather ['feðә] "n. the light horny waterproof structure forming the external covering of birds\nn. turning an oar parallel to the water between pulls\nv. join tongue and groove, in carpentry\nv. cover or fit with feathers"
feathered ['feðәd] "a. having or covered with feathers"
feathery ['feðәri] "s. characterized by a covering of feathers\ns. adorned with feathers or plumes"
feature ['fi:tʃә] "n. a prominent attribute or aspect of something\nn. the characteristic parts of a person's face: eyes and nose and mouth and chin\nn. the principal (full-length) film in a program at a movie theater\nn. a special or prominent article in a newspaper or magazine"
featured ['fi:tʃәd] "s. made a feature or highlight; given prominence\ns. having facial features as specified; usually used in combination"
fecal ['fi:kәl] "a of or relating to feces"
feces ['fi:'si:z] "n solid excretory product evacuated from the bowels"
fed [fed] "n any federal law-enforcement officer\nn the central bank of the United States; incorporates 12 Federal Reserve branch banks and all national banks and state-chartered commercial banks and some trust companies\nv provide as food\nv give food to\nv feed into; supply\nv introduce continuously\nv support or promote\nv take in food; used of animals only\nv serve as food for; be the food for\nv move along, of liquids\nv profit from in an exploitatory manner\nv gratify\nv provide with fertilizers or add nutrients to"
federal ['fedәrәl] "n. a member of the Union Army during the American Civil War\nn. any federal law-enforcement officer\ns. national; especially in reference to the government of the United States as distinct from that of its member units\na. of or relating to the central government of a federation"
federalism ['fedәrәliz(ә)m] "n. the idea of a federal organization of more or less self-governing units"
federally ['fedәrәli] "r. by federal government"
federation [fedә'reiʃәn] "n. an organization formed by merging several groups or parties\nn. the act of constituting a political unity out of a number of separate states or colonies or provinces so that each member retains the management of its internal affairs"
fee [fi:] "n. a fixed charge for a privilege or for professional services\nn. an interest in land capable of being inherited"
feeble [fi:bl] "s. pathetically lacking in force or effectiveness\ns. lacking strength"
feed [fi:d] "n. food for domestic livestock\nv. provide as food\nv. give food to\nv. feed into; supply"
feedback ['fi:dbæk] "n. the process in which part of the output of a system is returned to its input in order to regulate its further output\nn. response to an inquiry or experiment"
feeder ['fi:dә] "n. an animal being fattened or suitable for fattening\nn. a branch that flows into the main stream\nn. an animal that feeds on a particular source of food"
feeding ['fi:diŋ] "n. the act of supplying food and nourishment"
feel [fi:l] "n. an intuitive awareness; \nn. manual stimulation of the genital area for sexual pleasure\nv. undergo an emotional sensation or be in a particular state of mind\nv. perceive by a physical sensation, e.g., coming from the skin or muscles"
feel-good "[fi:l ɡud]" 
feeling ['fi:liŋ] "n. the experiencing of affective and emotional states\nn. a physical sensation that you experience\nn. an intuitive understanding of something"
feign [fein] "v. make believe with the intent to deceive"
feisty ['faisti] "s. showing courage"
fell [fel] "n. seam made by turning under or folding together and stitching the seamed materials to avoid rough edges\nn. the act of felling something (as a tree)\nv. cause to fall by or as if by delivering a blow\nv. sew a seam by folding the edges"
fella [felә] "n a boy or man"
fellow ['felәu] "n. a member of a learned society\nn. an informal form of address for a man"
fellowship ['felәuʃip] "n. money granted (by a university or foundation or other agency) for advanced study or research"
